operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Cell Update_t1,1,4969,0.00041779199242591856,24576000,9.662409495156686e-05,5.630282281643417e-05,2.679712532657058e-05,1.3524146808562104e-05,4,640,3200,3840,1
Hidden Update_t1,0,4969,0.00027136000990867615,24576000,0.00010612978632689035,6.094365986442085e-05,3.0034871527877607e-05,1.5151254934591884e-05,4,640,3200,3840,1
h_Gates_t2,1,4969,0.0025047039985656738,314572800000,0.00011769600620262383,6.764616522403344e-05,3.3282908015193347e-05,1.6766932963397037e-05,4,640,3200,3840,2
Gates_t2,1,4969,0.001137663960456848,62914560000,0.00012999716993409823,7.513089343191837e-05,3.648909946903263e-05,1.837717703314723e-05,4,640,3200,3840,2
Activations_t2,0,4969,0.0004116480052471161,49152000,0.0001416206566363973,8.19333988815174e-05,3.97027378732746e-05,1.9984519881605292e-05,4,640,3200,3840,2
Cell Update_t2,0,4969,0.0003952639997005463,24576000,0.00015399222225734028,8.915007131804487e-05,4.310037948027437e-05,2.1741771459021045e-05,4,640,3200,3840,2
Hidden Update_t2,0,4969,0.00027340799570083616,24576000,0.0001654449713338387,9.586618779522382e-05,4.624947616621751e-05,2.3329307372397357e-05,4,640,3200,3840,2
h_Gates_t3,0,4969,0.002514944076538086,314572800000,0.00017741957403855132,0.00010306286022299105,4.9431043155912825e-05,2.4925670659647432e-05,4,640,3200,3840,3
Gates_t3,1,4969,0.0011397119760513305,62914560000,0.0001872270185041931,0.0001080186975208619,5.2659091571683435e-05,2.654922941164775e-05,4,640,3200,3840,3
Activations_t3,1,4969,0.0003973119854927063,49152000,0.00019925264454748436,0.00011479981405315698,5.614444991552253e-05,2.830838057880484e-05,4,640,3200,3840,3
Cell Update_t3,1,4969,0.00041369599103927615,24576000,0.0002113191181036836,0.00012201509760956242,5.938462834099729e-05,2.9919392153123894e-05,4,640,3200,3840,3
Hidden Update_t3,0,4969,0.0002652159929275513,24576000,0.00022285091227027657,0.0001287334363162529,6.258789979250202e-05,3.1529576161521646e-05,4,640,3200,3840,3
h_Gates_t0,2,4969,0.0033761279582977294,452984832000,2.611534217563655e-06,2.121112807174086e-06,3.641958469116982e-07,1.26225563477871e-07,4,640,3840,3840,0
Gates_t0,2,4969,0.0013629440069198608,75497472000,1.5312473734711888e-05,9.59306322911857e-06,3.825573616011296e-06,1.8938368895820212e-06,4,640,3840,3840,0
Activations_t0,1,4969,0.0004454399943351746,58982400,2.7408796488972784e-05,1.6471957618335864e-05,7.274651375272119e-06,3.662187495364802e-06,4,640,3840,3840,0
Cell Update_t0,0,4969,0.0004485119879245758,29491200,3.944352291247485e-05,2.3683352281977932e-05,1.047896116093943e-05,5.281209469557491e-06,4,640,3840,3840,0
Hidden Update_t0,0,4969,0.0002990080118179321,29491200,5.138077242999348e-05,3.0416135452071558e-05,1.3918333356879344e-05,7.046303621042583e-06,4,640,3840,3840,0
h_Gates_t1,0,4969,0.003537919998168945,452984832000,6.381875756947223e-05,3.760669675045847e-05,1.7384987519089568e-05,8.827073299924195e-06,4,640,3840,3840,1
Gates_t1,2,4969,0.001316864013671875,75497472000,7.377800321403833e-05,4.2711145283647056e-05,2.06010881475217e-05,1.0465769782869567e-05,4,640,3840,3840,1
Activations_t1,1,4969,0.00045158401131629945,58982400,8.535607615713596e-05,4.953726185519258e-05,2.3746972330894456e-05,1.2071841971048926e-05,4,640,3840,3840,1
Cell Update_t1,1,4969,0.00044441598653793336,29491200,9.780471778722003e-05,5.6764212082782706e-05,2.7189993974200202e-05,1.385051173023712e-05,4,640,3840,3840,1
Hidden Update_t1,0,4969,0.00030208000540733336,29491200,0.00010932046605323422,6.346199521445328e-05,3.038354236236957e-05,1.5474928476411367e-05,4,640,3840,3840,1
h_Gates_t2,0,4969,0.003537919998168945,452984832000,0.00012175861311578298,7.0661167640651e-05,3.3846610966154975e-05,1.7250834508977003e-05,4,640,3840,3840,2
Gates_t2,2,4969,0.0013107199668884277,75497472000,0.00013380091169424088,7.784450672332355e-05,3.706305520597558e-05,1.889334976494175e-05,4,640,3840,3840,2
Activations_t2,2,4969,0.00045875200629234315,58982400,0.00014629667459835672,8.510756808988162e-05,4.052873020073556e-05,2.066037630773954e-05,4,640,3840,3840,2
Cell Update_t2,0,4969,0.0004454399943351746,29491200,0.00015775157625868677,9.180785122708812e-05,4.3674949384375425e-05,2.2268775647223212e-05,4,640,3840,3840,2
Hidden Update_t2,0,4969,0.0002938880026340485,29491200,0.00017015838435130863,9.900535698648127e-05,4.7117915749857187e-05,2.4035111614970155e-05,4,640,3840,3840,2
h_Gates_t3,2,4969,0.003547136068344116,452984832000,0.0001796365780862953,0.00010364397180495644,5.0334372489686634e-05,2.565823379165223e-05,4,640,3840,3840,3
Gates_t3,2,4969,0.0013107199668884277,75497472000,0.00019463634905520597,0.0001133942573865454,5.379935692833692e-05,2.7442734740323635e-05,4,640,3840,3840,3
Activations_t3,1,4969,0.00045875200629234315,58982400,0.0002042800229627934,0.00011810898337216713,5.706194787174351e-05,2.9109091718882745e-05,4,640,3840,3840,3
Cell Update_t3,0,4969,0.0004433920085430145,29491200,0.0002159253407323961,0.00012483676654184706,6.0321682423973566e-05,3.076689176657545e-05,4,640,3840,3840,3
Hidden Update_t3,0,4969,0.0003031040132045746,29491200,0.0002283737734723085,0.00013204760564278217,6.377684629921363e-05,3.254932153031265e-05,4,640,3840,3840,3
h_Gates_t0,0,4969,0.0045240321159362796,616562688000,5.773073501218988e-07,0.0,4.5466758595655993e-07,1.226397641653389e-07,4,640,4480,3840,0
Gates_t0,3,4969,0.0015472639799118042,88080384000,1.3041968887306813e-05,7.196672427767226e-06,3.937588705623177e-06,1.9077077539164113e-06,4,640,4480,3840,0
Activations_t0,0,4969,0.0005038080215454101,68812800,2.5687491096465272e-05,1.4565844978164932e-05,7.423468160992069e-06,3.6981779573082717e-06,4,640,4480,3840,0
Cell Update_t0,0,4969,0.0004966399967670441,34406400,3.758297978007645e-05,2.1250294778951684e-05,1.0866252026328627e-05,5.466432974796138e-06,4,640,4480,3840,0
Hidden Update_t0,0,4969,0.00034406399726867674,34406400,4.965739353892722e-05,2.8495022792895952e-05,1.408238265478666e-05,7.079988091244607e-06,4,640,4480,3840,0
h_Gates_t1,2,4969,0.004932608127593994,616562688000,6.126379871350263e-05,3.5244472634587964e-05,1.7297627171426223e-05,8.721698907488441e-06,4,640,4480,3840,1
Gates_t1,2,4969,0.0015032320022583007,88080384000,7.397166688386383e-05,4.295475658366854e-05,2.0616176770705055e-05,1.0400733529490237e-05,4,640,4480,3840,1
Activations_t1,1,4969,0.0005140479803085327,68812800,8.564032728970822e-05,4.976476203566449e-05,2.3841072406175813e-05,1.2034492847867918e-05,4,640,4480,3840,1
Cell Update_t1,0,4969,0.0004945920109748841,34406400,9.81335155814099e-05,5.694087888130639e-05,2.735227132624491e-05,1.3840365373858604e-05,4,640,4480,3840,1
Hidden Update_t1,0,4969,0.00032972800731658934,34406400,0.00010977104941788827,6.372449541913738e-05,3.0570258345075964e-05,1.547629565367492e-05,4,640,4480,3840,1
h_Gates_t2,0,4969,0.0049387521743774416,616562688000,0.00011920435701637864,6.83453324512584e-05,3.376223006531891e-05,1.7096794499801327e-05,4,640,4480,3840,2
Gates_t2,2,4969,0.0015022079944610595,88080384000,0.0001319933718911514,7.627700546208871e-05,3.697859791618966e-05,1.8737768512873026e-05,4,640,4480,3840,2
Activations_t2,1,4969,0.0005160959959030152,68812800,0.00014403764967925906,8.305701089383888e-05,4.0453339029310025e-05,2.0527299756110147e-05,4,640,4480,3840,2
Cell Update_t2,0,4969,0.0005007359981536865,34406400,0.00015661193355808134,9.028812777955864e-05,4.3998813810134686e-05,2.232499196838801e-05,4,640,4480,3840,2
Hidden Update_t2,0,4969,0.0003256320059299469,34406400,0.00016818470719294297,9.699257759621105e-05,4.7224900002111256e-05,2.3967229594620662e-05,4,640,4480,3840,2
h_Gates_t3,0,4969,0.004914175987243652,616562688000,0.0001806036995692084,0.00010416119443590333,5.069166860885866e-05,2.5750836524446415e-05,4,640,4480,3840,3
Gates_t3,3,4969,0.001499135971069336,88080384000,0.00019270148328381212,0.00011130814459647809,5.3988738468733685e-05,2.7404600218600347e-05,4,640,4480,3840,3
Activations_t3,0,4969,0.00052019202709198,68812800,0.0002049727804184148,0.00011862703934184538,5.729479805802445e-05,2.9050943018544988e-05,4,640,4480,3840,3
Cell Update_t3,0,4969,0.000502784013748169,34406400,0.0002165592763132256,0.00012535648917477715,6.0512208409729124e-05,3.069057872871933e-05,4,640,4480,3840,3
