operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Hidden Update_t2,0,1113,0.00020479999482631684,49152,8.55283706429933e-05,5.006642894045399e-05,2.45331629598472e-05,1.0928778742692137e-05,4,64,384,64,2
h_Gates_t3,0,1113,0.00024371199309825898,75497472,8.977576111359374e-05,5.208476388673944e-05,2.608430503409781e-05,1.1606692192756516e-05,4,64,384,64,3
Gates_t3,0,1113,0.00034918400645256043,12582912,9.692925920092457e-05,5.66319897536971e-05,2.787307813178e-05,1.2424191315447491e-05,4,64,384,64,3
Activations_t3,0,1113,0.0002099200040102005,98304,0.00010169103417096528,5.914060286826839e-05,2.9444055777450365e-05,1.3106375525246546e-05,4,64,384,64,3
Cell Update_t3,0,1113,0.00021299199759960174,49152,0.00010719666646087035,6.241004993157162e-05,3.0992015071368284e-05,1.3794601457930454e-05,4,64,384,64,3
Hidden Update_t3,0,1113,0.00020684799551963807,49152,0.00011275001562370408,6.569699700165188e-05,3.2561670215985536e-05,1.449134840606668e-05,4,64,384,64,3
h_Gates_t0,0,1113,0.0003758080005645752,102760448,4.674520816614401e-07,0.0,3.449624981916033e-07,1.2248958346983676e-07,4,64,448,64,0
Gates_t0,0,1115,0.0006686720252037048,14680064,7.683865021759818e-06,4.55167031176984e-06,2.167260900472201e-06,9.649338095177766e-07,4,64,448,64,0
Activations_t0,0,1115,5.7344000786542894e-05,114688,1.2496122652606547e-05,7.066950100664826e-06,3.770649127626813e-06,1.6585234243149073e-06,4,64,448,64,0
Cell Update_t0,0,1115,0.00023244799673557281,57344,1.9401245837205515e-05,1.1631398194822395e-05,5.411364051310236e-06,2.3584835910728828e-06,4,64,448,64,0
Hidden Update_t0,0,1115,7.372800260782241e-05,57344,2.3781209114665818e-05,1.3657510926634586e-05,7.0650317631308635e-06,3.058666424900368e-06,4,64,448,64,0
h_Gates_t1,0,1115,8.499199897050858e-05,102760448,2.87248043993729e-05,1.6174735161911258e-05,8.740009769777138e-06,3.8100594676845045e-06,4,64,448,64,1
Gates_t1,0,1115,0.0001955839991569519,14680064,3.5621302021545634e-05,2.0730572142468873e-05,1.0371514963868761e-05,4.519214915207995e-06,4,64,448,64,1
Activations_t1,0,1115,5.529600009322166e-05,114688,3.9967880022883116e-05,2.276557377101085e-05,1.1978777083011816e-05,5.223529168860447e-06,4,64,448,64,1
Cell Update_t1,0,1115,8.499199897050858e-05,57344,4.6875110630326346e-05,2.7340299649125654e-05,1.360912560951534e-05,5.925685371685346e-06,4,64,448,64,1
Hidden Update_t1,0,1115,5.632000043988228e-05,57344,5.183662839531068e-05,2.9836690533358023e-05,1.5306180856046805e-05,6.693757005905847e-06,4,64,448,64,1
h_Gates_t2,0,1115,9.42080020904541e-05,102760448,5.904879713427572e-05,3.438363861363314e-05,1.7140884823806796e-05,7.524273696835788e-06,4,64,448,64,2
Gates_t2,0,1115,0.00020479999482631684,14680064,6.499699942258275e-05,3.7695307931073785e-05,1.8998178809641678e-05,8.30351268186728e-06,4,64,448,64,2
Activations_t2,0,1115,6.143999844789505e-05,114688,7.100960982057451e-05,4.099281057534654e-05,2.0923613127764654e-05,9.093186117463308e-06,4,64,448,64,2
Cell Update_t2,0,1115,8.908800035715103e-05,57344,7.600095630163999e-05,4.348725701319722e-05,2.2647200617743543e-05,9.8664986706992e-06,4,64,448,64,2
Hidden Update_t2,0,1115,5.427199974656105e-05,57344,8.313807368339e-05,4.805920511685713e-05,2.4413595086413345e-05,1.0665273480119505e-05,4,64,448,64,2
h_Gates_t3,0,1115,0.0002611199915409088,102760448,8.901246003648394e-05,5.1320041055902266e-05,2.6203673462919796e-05,1.1488745517661862e-05,4,64,448,64,3
Gates_t3,0,1115,0.00034303998947143557,14680064,9.466501872066562e-05,5.461865480782535e-05,2.7837853381373553e-05,1.2208510531466697e-05,4,64,448,64,3
Activations_t3,0,1115,0.00020172800123691558,114688,0.00010005816162298067,5.713449015587457e-05,2.9823246914134974e-05,1.3100424552971114e-05,4,64,448,64,3
Cell Update_t3,0,1115,0.00021401600539684294,57344,0.00010692821064840404,6.167338267459854e-05,3.1441834042335304e-05,1.3812993931470173e-05,4,64,448,64,3
Hidden Update_t3,0,1115,0.0002027519941329956,57344,0.00011246041422713208,6.494782973476276e-05,3.30014486233602e-05,1.4511135869009102e-05,4,64,448,64,3
h_Gates_t0,0,1115,0.00024063999950885772,134217728,1.83174339068759e-06,1.2630565677795857e-06,4.370953496750374e-07,1.3159147323296686e-07,4,64,512,64,0
Gates_t0,0,1115,0.0003973119854927063,16777216,6.225770275597413e-06,3.2938915310865013e-06,2.0727161026169727e-06,8.59162641893939e-07,4,64,512,64,0
Activations_t0,0,1115,4.812800139188767e-05,131072,1.1087991779758282e-05,5.810837986786055e-06,3.7010765719727723e-06,1.5760772209994544e-06,4,64,512,64,0
Cell Update_t0,0,1115,6.758400052785873e-05,65536,1.8031562704572347e-05,1.0367786071441287e-05,5.352307059619185e-06,2.3114695735118767e-06,4,64,512,64,0
Hidden Update_t0,0,1115,5.939200147986412e-05,65536,2.541258537769931e-05,1.4908900809018633e-05,7.301505563420477e-06,3.202179005260203e-06,4,64,512,64,0
h_Gates_t1,0,1115,9.830400347709655e-05,134217728,2.9992452888307626e-05,1.69461246599667e-05,9.04521640283408e-06,4.00111182550685e-06,4,64,512,64,1
Gates_t1,0,1115,0.0001658879965543747,16777216,3.746614565206504e-05,2.1496128304931972e-05,1.1060638848503848e-05,4.9093784986292215e-06,4,64,512,64,1
Activations_t1,0,1115,5.8368001133203504e-05,131072,4.2306931260779975e-05,2.4033908108123114e-05,1.2647035395395995e-05,5.625987757260869e-06,4,64,512,64,1
Cell Update_t1,0,1115,7.27040022611618e-05,65536,4.938004431503667e-05,2.856863395805931e-05,1.4392450402836779e-05,6.418959954140589e-06,4,64,512,64,1
Hidden Update_t1,0,1115,5.632000043988228e-05,65536,5.523261221536755e-05,3.1849469920075535e-05,1.615891709379029e-05,7.224225201501728e-06,4,64,512,64,1
h_Gates_t2,0,1115,7.577600330114365e-05,134217728,6.123328042666963e-05,3.5149750345908615e-05,1.8016486913175617e-05,8.067043167585403e-06,4,64,512,64,2
Gates_t2,0,1115,0.00020070399343967437,16777216,6.638712123511239e-05,3.7668919020461544e-05,1.981812335448592e-05,8.90007886016493e-06,4,64,512,64,2
Activations_t2,0,1115,6.143999844789505e-05,131072,7.383901076686418e-05,4.2270589368342826e-05,2.175310184691047e-05,9.815319551610884e-06,4,64,512,64,2
Cell Update_t2,0,1115,5.939200147986412e-05,65536,8.06764622572114e-05,4.679003743035537e-05,2.3361364522406572e-05,1.0525060304449461e-05,4,64,512,64,2
Hidden Update_t2,0,1115,6.0416001826524736e-05,65536,8.530067423174415e-05,4.8825039058897346e-05,2.5128483713882446e-05,1.1347151458964362e-05,4,64,512,64,2
h_Gates_t3,0,1115,8.499199897050858e-05,134217728,9.23793050328848e-05,5.3353376017639675e-05,2.6895192071690888e-05,1.2130736943554246e-05,4,64,512,64,3
