operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
h_Gates_t2,1,9573,0.010000384330749512,1310720000000,6.184082497296667e-05,3.768641903789671e-05,1.6830977631438165e-05,7.323428303631794e-06,4,640,16000,640,2
Gates_t2,1,9573,0.0010086400508880614,52428800000,6.541526955122083e-05,3.899753119895877e-05,1.843073335568515e-05,7.987004996576913e-06,4,640,16000,640,2
Activations_t2,5,9573,0.00038092800974845887,40960000,7.344823336122454e-05,4.482670252770049e-05,1.9958047910869758e-05,8.663482922654297e-06,4,640,16000,640,2
Cell Update_t2,5,9573,0.00029286399483680726,20480000,7.903377165659207e-05,4.812559405564798e-05,2.1554930021708426e-05,9.353247579235675e-06,4,640,16000,640,2
Hidden Update_t2,5,9573,0.00025702399015426635,20480000,8.25698166853334e-05,4.9431983988768025e-05,2.3117032660276843e-05,1.0020800036288542e-05,4,640,16000,640,2
h_Gates_t3,0,9573,0.01004032039642334,1310720000000,8.94372018366231e-05,5.402698766587832e-05,2.4712901992528062e-05,1.0697312178216728e-05,4,640,16000,640,3
Gates_t3,0,9573,0.0010291199684143066,52428800000,9.635549288487963e-05,5.868338028136577e-05,2.627475463089907e-05,1.1397357972614807e-05,4,640,16000,640,3
Activations_t3,0,9573,0.0003880960047245026,40960000,0.00010214046194785263,6.213782748432095e-05,2.7893307592405077e-05,1.2109326871126612e-05,4,640,16000,640,3
Cell Update_t3,5,9573,0.00035737600922584536,20480000,0.0001074357464289279,6.472810733271217e-05,2.973720851197001e-05,1.2970430584245725e-05,4,640,16000,640,3
Hidden Update_t3,5,9573,0.00025497600436210634,20480000,0.0001142510706041862,6.930894433310186e-05,3.12881008637944e-05,1.3654025407289945e-05,4,640,16000,640,3
h_Gates_t0,0,15199,0.013730815887451172,1887436800000,3.231623937501847e-06,2.7161132862829618e-06,3.641366801962259e-07,1.513739710226595e-07,4,640,19200,640,0
Gates_t0,10,15199,0.0010455039739608765,62914560000,8.483699647324981e-06,5.304448691845209e-06,2.183976469400783e-06,9.952744860789888e-07,4,640,19200,640,0
Activations_t0,10,15199,0.0004188160002231598,49152000,1.66056678843797e-05,1.1277231241280106e-05,3.67656627458233e-06,1.6518703685172643e-06,4,640,19200,640,0
Cell Update_t0,1,15199,0.0004003840088844299,24576000,2.25756657945382e-05,1.4584456113908573e-05,5.5212896948042545e-06,2.469919985825376e-06,4,640,19200,640,0
Hidden Update_t0,1,15199,0.0002775039970874786,24576000,2.9821801920697447e-05,1.917751533753176e-05,7.330500031060556e-06,3.313786552105133e-06,4,640,19200,640,0
h_Gates_t1,1,15199,0.014736384391784667,1887436800000,3.3484165972554236e-05,2.0484738605830444e-05,8.995212751719485e-06,4.004214615004307e-06,4,640,19200,640,1
Gates_t1,7,15199,0.0011571199893951416,62914560000,4.169959951791627e-05,2.6443910044804397e-05,1.0567478731753088e-05,4.688210741358786e-06,4,640,19200,640,1
Activations_t1,7,15199,0.0004341759979724884,49152000,4.794519925630331e-05,3.0027801802390286e-05,1.2388531021926847e-05,5.5288664319861755e-06,4,640,19200,640,1
Cell Update_t1,7,15199,0.0004095999896526337,24576000,5.5310713127610095e-05,3.463586104146543e-05,1.4279079201031547e-05,6.39577288511312e-06,4,640,19200,640,1
Hidden Update_t1,1,15199,0.0002754560112953186,24576000,5.889788286451563e-05,3.594197319500836e-05,1.5875050200027884e-05,7.080859469479387e-06,4,640,19200,640,1
h_Gates_t2,1,15199,0.014692352294921876,1887436800000,6.578531244936088e-05,4.056308801025921e-05,1.744832923642912e-05,7.773895202672555e-06,4,640,19200,640,2
Gates_t2,7,15199,0.0011479040384292601,62914560000,7.308613087956775e-05,4.561892538390566e-05,1.8999018254757527e-05,8.468187240904557e-06,4,640,19200,640,2
Activations_t2,7,15199,0.00043929600715637206,49152000,7.671040926305666e-05,4.692392642979826e-05,2.061741843836643e-05,9.169064394891976e-06,4,640,19200,640,2
Cell Update_t2,7,15199,0.0003983359932899475,24576000,8.4103063114705e-05,5.164920799316519e-05,2.2440280729988716e-05,1.0013574391551089e-05,4,640,19200,640,2
Hidden Update_t2,1,15199,0.0002754560112953186,24576000,8.965634421144134e-05,5.493865506522866e-05,2.4013631710890224e-05,1.0704057435322458e-05,4,640,19200,640,2
h_Gates_t3,1,15199,0.014736384391784667,1887436800000,9.653377860876059e-05,5.9521436501341896e-05,2.560942882086066e-05,1.1402913286558023e-05,4,640,19200,640,3
Gates_t3,1,15199,0.0011581439971923829,62914560000,0.00010015557032263896,6.0828104210486345e-05,2.7205705375656737e-05,1.2121760736495873e-05,4,640,19200,640,3
Activations_t3,8,15199,0.0004382719993591309,49152000,0.00010843588260827378,6.684144235791223e-05,2.877855607838118e-05,1.2815884171980362e-05,4,640,19200,640,3
Cell Update_t3,8,15199,0.00040243199467659,24576000,0.00011399551095749578,7.012477832546438e-05,3.0351585392358795e-05,1.3519147239672595e-05,4,640,19200,640,3
Hidden Update_t3,8,15199,0.00027136000990867615,24576000,0.00011763124838475033,7.143227937334018e-05,3.1958923622672926e-05,1.424004538873722e-05,4,640,19200,640,3
h_Gates_t0,4,22857,0.018989055633544923,2569011200000,1.7933805196631023e-06,1.2952788139841687e-06,3.6416195799799603e-07,1.3393974768093765e-07,4,640,22400,640,0
Gates_t0,4,22857,0.0012052479982376098,73400320000,1.06558924803683e-05,7.421950389385756e-06,2.2516248568555915e-06,9.823172341269524e-07,4,640,22400,640,0
Activations_t0,4,22857,0.0003932160139083862,57344000,1.5401733846037577e-05,9.999174672259414e-06,3.754216892260247e-06,1.6483422815179174e-06,4,640,22400,640,0
Cell Update_t0,10,22857,0.00037273600697517394,28672000,2.0927314709560703e-05,1.3348066232765632e-05,5.279530612509729e-06,2.2997178642853423e-06,4,640,22400,640,0
Hidden Update_t0,10,22857,0.00030208000540733336,28672000,2.638835204434796e-05,1.6675013341682643e-05,6.759956241294326e-06,2.9533824613709917e-06,4,640,22400,640,0
h_Gates_t1,10,22857,0.02019430351257324,2569011200000,3.166460581973197e-05,1.9251682072507492e-05,8.604624383694759e-06,3.8082993635297255e-06,4,640,22400,640,1
Gates_t1,10,22857,0.0013158400058746339,73400320000,4.0509762791142914e-05,2.5699187229832887e-05,1.0291291844138429e-05,4.5192837171716e-06,4,640,22400,640,1
Activations_t1,10,22857,0.0004710400104522705,57344000,4.8410873076063274e-05,3.084863579161379e-05,1.2182649468333944e-05,5.3795878161155454e-06,4,640,22400,640,1
