operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
attention_softmax,0,747,0.0001267200008034706,65536,0.00024303862945845687,9.232007385599692e-05,7.164971455362445e-05,7.906884104883546e-05,128,2736783360,1280
Attention Output,0,747,0.00046911360025405887,2684354560,0.0003458192566588504,0.00013104027149879807,0.00010209355169655094,0.00011268543346350138,128,2736783360,1280
Final Projection,0,747,0.0024859456062316892,26843545600,0.0004497052195025713,0.00017066146986239732,0.0001326364646529503,0.00014640728498722364,128,2736783360,1280
QKV Projections,2,755,0.008421894645690917,88785027072,4.236724331670755e-05,1.693023576640057e-05,1.2094777719576087e-05,1.3342229830730894e-05,128,2873622528,1344
Attention Scores,0,755,0.0005781759977340698,2818572288,0.00014252245938706887,5.5075599616001555e-05,4.156557308178309e-05,4.588128668928423e-05,128,2873622528,1344
attention_softmax,0,755,0.0001042495995759964,65536,0.00024423553504390494,9.393324181320162e-05,7.143630391788912e-05,7.886598931281422e-05,128,2873622528,1344
Attention Output,0,755,0.00047520000338554386,2818572288,0.00034545400823292934,0.00013198382780920046,0.00010145656218052083,0.000112013618243208,128,2873622528,1344
Final Projection,1,755,0.002860556840896607,29595009024,0.00044610451146553183,0.0001701474694512012,0.00013115344305260189,0.00014480359896172873,128,2873622528,1344
QKV Projections,0,515,0.0003315903961658478,1610612736,4.0487564023202824e-05,1.5167845467599362e-05,1.2038565602222714e-05,1.3281152953380747e-05,256,1084227584,128
Attention Scores,0,515,0.00032394880056381225,1073741824,0.00014125670195140144,5.3136542509200216e-05,4.1883209142635887e-05,4.623695029956537e-05,256,1084227584,128
attention_softmax,0,515,0.00014528000354766847,131072,0.00024195531407654876,9.078607262880054e-05,7.184601203305343e-05,7.93232294146948e-05,256,1084227584,128
Attention Output,0,515,0.0002728063941001892,1073741824,0.00034115655619199845,0.00012833238044359998,0.00010114934273277351,0.00011167483301562488,256,1084227584,128
Final Projection,0,515,0.00018807680308818817,536870912,0.00044076410836227234,0.00016639874423000008,0.00013039935148749325,0.0001439660126447789,256,1084227584,128
QKV Projections,0,341,0.0006449919939041138,3623878656,4.118058140973364e-05,1.5639568067200847e-05,1.2144217823183049e-05,1.3396795519349749e-05,256,1626341376,192
Attention Scores,0,373,0.0005160576045513153,1610612736,0.00014418612510277211,5.522543306920036e-05,4.2283449079426045e-05,4.667724295414574e-05,256,1626341376,192
attention_softmax,0,373,0.00013534080386161805,131072,0.0002444025762665133,9.3147296740001e-05,7.188859311594483e-05,7.936668641056753e-05,256,1626341376,192
Attention Output,0,373,0.00032945279479026793,1610612736,0.00034527326270887787,0.00013114604936120057,0.00010177141577580907,0.00011235579757186817,256,1626341376,192
Final Projection,0,373,0.0002708992063999176,1207959552,0.00044642942605060563,0.00016934741325560013,0.00013169873264900909,0.00014538328014599653,256,1626341376,192
QKV Projections,0,393,0.0008318912148475648,6442450944,4.320855164060385e-05,1.639717978439842e-05,1.274736602708256e-05,1.406400582912288e-05,256,2168455168,256
Attention Scores,0,393,0.00044805119633674627,2147483648,0.00014569234717658612,5.5118821872798127e-05,4.30517777975044e-05,4.7521747506283605e-05,256,2168455168,256
attention_softmax,0,393,0.00013406080305576325,131072,0.0002478102459284374,9.45029644911985e-05,7.286714975099232e-05,8.044013168624658e-05,256,2168455168,256
Attention Output,0,393,0.0003875775992870331,2147483648,0.0003485749957736524,0.00013299299528319876,0.00010246918365640959,0.00011311281683404402,256,2168455168,256
Final Projection,0,393,0.0003409024000167847,2147483648,0.00044923682449654785,0.00017128885925319845,0.00013211930757030423,0.00014582865767304504,256,2168455168,256
QKV Projections,0,427,0.0012254335880279542,10066329600,4.2018937434547085e-05,1.6539013231203075e-05,1.2121049805288194e-05,1.3358874398055812e-05,256,2710568960,320
Attention Scores,0,427,0.000518944001197815,2684354560,0.00014356574120124438,5.544865547000358e-05,4.189164792611879e-05,4.622543780512201e-05,256,2710568960,320
attention_softmax,0,427,0.000166457599401474,131072,0.00024468158745826374,9.383635284680309e-05,7.170390240069993e-05,7.91413322107607e-05,256,2710568960,320
Attention Output,0,427,0.000455756801366806,2684354560,0.000345633114509712,0.0001323910503572043,0.00010135791756263884,0.0001118841465898689,256,2710568960,320
Final Projection,0,427,0.00047561599612236025,3355443200,0.00044752394084940144,0.00017109380354160195,0.00013138771358555334,0.00014504242372224616,256,2710568960,320
QKV Projections,0,497,0.0016184191942214966,14495514624,4.2027506098527835e-05,1.650979098559921e-05,1.2133406132507692e-05,1.338430898042093e-05,256,3252682752,384
Attention Scores,0,497,0.0005806592106819151,3221225472,0.00014271341748900082,5.475459935919691e-05,4.18084487620907e-05,4.615036936771321e-05,256,3252682752,384
attention_softmax,0,497,0.00013325439989566803,131072,0.0002430167497614449,9.273346307559701e-05,7.142876982014186e-05,7.885451686570608e-05,256,3252682752,384
Attention Output,0,497,0.00048042879104614257,3221225472,0.00034324621113747953,0.00013051504885639928,0.00010111155967083431,0.000111619602610246,256,3252682752,384
Final Projection,0,497,0.000596729588508606,4831838208,0.0004445451116991099,0.00016894902404799642,0.00013099748891303714,0.00014459859873807638,256,3252682752,384
QKV Projections,0,551,0.002180377578735351,19730006016,4.1681262414622e-05,1.5393512314800656e-05,1.249934427207399e-05,1.3788405827747344e-05,256,3794796544,448
Attention Scores,0,551,0.0006429119944572449,3758096384,0.00014474220702559646,5.517248858240148e-05,4.2575223056786507e-05,4.699449538640845e-05,256,3794796544,448
attention_softmax,0,551,0.00013407999873161317,131072,0.0002463218197474375,9.431429767360125e-05,7.23000829774796e-05,7.97074390963566e-05,256,3794796544,448
Attention Output,0,551,0.0005379008054733276,3758096384,0.0003479488902845446,0.00013310721759679997,0.00010219119342303316,0.00011265047926471139,256,3794796544,448
Final Projection,0,551,0.0007795967817306518,6576668672,0.00045260437924383307,0.0001730286939784005,0.00013295382405997786,0.00014662186120545465,256,3794796544,448
QKV Projections,0,605,0.0026738751888275144,25769803776,4.130709572471291e-05,1.564212362479972e-05,1.2202835697912255e-05,1.3462136402000937e-05,256,4336910336,512
Attention Scores,0,605,0.0007051775932312012,4294967296,0.00014271343492320345,5.408709882519861e-05,4.212394155972422e-05,4.650239453828061e-05,256,4336910336,512
attention_softmax,0,605,0.0001397567987442017,131072,0.0002449536077665642,9.298707438959927e-05,7.222431165652653e-05,7.974222172043839e-05,256,4336910336,512
Attention Output,0,605,0.0005901119947433473,4294967296,0.00034849091643984786,0.00013233055030879848,0.00010273047308972702,0.00011342989304132228,256,4336910336,512
Final Projection,0,605,0.0009457087874412537,8589934592,0.00044984578161226806,0.00017096247010319962,0.00013253850389071493,0.0001463448076183534,256,4336910336,512
QKV Projections,1,655,0.003417523193359375,32614907904,4.229087750665343e-05,1.686129126679814e-05,1.2090275347497811e-05,1.3339310892357482e-05,256,4879024128,576
Attention Scores,0,655,0.0008186047911643982,4831838208,0.00014440240732044993,5.57770446215973e-05,4.21229860511144e-05,4.650237664773821e-05,256,4879024128,576
attention_softmax,0,655,0.00013114240169525147,131072,0.00024721413210122584,9.462968681479764e-05,7.25175075634766e-05,8.006693772295167e-05,256,4879024128,576
Attention Output,0,655,0.0006493439912796021,4831838208,0.0003490627925455046,0.00013305243977519698,0.00010265923457083747,0.00011335111819947039,256,4879024128,576
Final Projection,0,655,0.0011908032178878784,10871635968,0.00045206040353015407,0.0001722422489047977,0.00013298184152624876,0.00014683631309910777,256,4879024128,576
QKV Projections,1,701,0.003796684837341308,40265318400,4.1122581548178405e-05,1.5441567908799912e-05,1.2209696694858015e-05,1.3471316944520485e-05,256,5421137920,640
Attention Scores,0,701,0.001030233585834503,5368709120,0.0001454790852441151,5.5302655353201e-05,4.2858617389429635e-05,4.731781250148446e-05,256,5421137920,640
attention_softmax,0,701,0.00015901439785957335,131072,0.0002481411165106239,9.434963103519961e-05,7.309513778984287e-05,8.06963476855815e-05,256,5421137920,640
Attention Output,0,701,0.0007145408034324646,5368709120,0.0003517538260569871,0.00013418466290320079,0.00010340561485567431,0.00011416354829811206,256,5421137920,640
Final Projection,0,701,0.0013131520032882691,13421772800,0.0004552066294078426,0.00017355308328680026,0.00013386050817054652,0.0001477930379504959,256,5421137920,640
QKV Projections,1,753,0.00494720630645752,48721035264,4.309034381266069e-05,1.6813180117197097e-05,1.2494487006106282e-05,1.3782676689357305e-05,256,5963251712,704
Attention Scores,0,753,0.0010179263710975647,5905580032,0.00014721064134901404,5.659304527439665e-05,4.307606955318761e-05,4.7541526521429765e-05,256,5963251712,704
attention_softmax,0,753,0.00013308800160884856,131072,0.00024954524625696187,9.535696517439657e-05,7.329261850235297e-05,8.089566258021226e-05,256,5963251712,704
Attention Output,0,753,0.0007559808135032655,5905580032,0.0003525828786597175,0.00013516199701839662,0.00010334504404930765,0.00011407583759201323,256,5963251712,704
Final Projection,0,753,0.0016959424018859863,16240345088,0.0004549283341652679,0.00017402819477799688,0.00013351398609221763,0.00014738615329505344,256,5963251712,704
QKV Projections,1,845,0.005384729671478272,57982058496,4.205773828075605e-05,1.6237235211998686e-05,1.22777873095884e-05,1.3542715759168972e-05,256,6505365504,768
Attention Scores,0,845,0.0012937535762786866,6442450944,0.0001455478499422407,5.6213822748798356e-05,4.2467872087223296e-05,4.6866155106219035e-05,256,6505365504,768
attention_softmax,0,845,0.00013337600231170654,131072,0.000247864343213515,9.503463158319972e-05,7.26476640448627e-05,8.018204758545261e-05,256,6505365504,768
Attention Output,0,845,0.0008098688006401061,6442450944,0.0003512497152467776,0.00013475888558479794,0.00010290324534346649,0.00011358758431851321,256,6505365504,768
Final Projection,0,845,0.001857651209831238,19327352832,0.0004557412197775763,0.00017469552864519884,0.00013358281961637605,0.00014746287151600143,256,6505365504,768
QKV Projections,1,897,0.006822764873504639,68048388096,4.2384321584074114e-05,1.636840198359843e-05,1.2368992489031522e-05,1.3646927111444167e-05,256,7047479296,832
Attention Scores,0,897,0.0012370880126953126,6979321856,0.0001460870989010005,5.6353489527197906e-05,4.265147282390179e-05,4.708213654990076e-05,256,7047479296,832
attention_softmax,0,897,0.0001349696010351181,131072,0.0002491247075407342,9.556702089799849e-05,7.29847684868158e-05,8.057291815591989e-05,256,7047479296,832
Attention Output,0,897,0.0008652736067771911,6979321856,0.00035308281589089733,0.00013526910821519896,0.0001035208044568266,0.0001142929032188717,256,7047479296,832
Final Projection,0,897,0.0023176767826080325,22682796032,0.0004576528307053111,0.0001753811958603982,0.00013415327005572526,0.00014811836478918763,256,7047479296,832
QKV Projections,1,949,0.007292672157287597,78920024064,4.313430906960228e-05,1.708840255959798e-05,1.2383045246252276e-05,1.3662861263752022e-05,256,7589593088,896
Attention Scores,0,949,0.0015695935726165772,7516192768,0.00014728965011756378,5.6972212244398715e-05,4.2928089629581846e-05,4.7389348243583225e-05,256,7589593088,896
attention_softmax,0,949,0.00013423359990119934,131072,0.0002504705874003674,9.635385486079853e-05,7.324879866957899e-05,8.086793386998987e-05,256,7589593088,896
Attention Output,0,949,0.0009183167934417724,7516192768,0.0003552021943730486,0.00013624505344039944,0.00010406469320833458,0.00011489244772431449,256,7589593088,896
Final Projection,0,949,0.0024719615936279297,26306674688,0.0004613139580798835,0.00017661247462319798,0.0001353243950501541,0.0001493770884065313,256,7589593088,896
QKV Projections,2,1001,0.008787456130981445,90596966400,4.2916529559426665e-05,1.695590245360118e-05,1.2344809526245072e-05,1.3615817579580415e-05,256,8131706880,960
Attention Scores,0,1001,0.0017388223886489868,8053063680,0.00014692146991797424,5.698687892280174e-05,4.276066025387625e-05,4.717393074129627e-05,256,8131706880,960
attention_softmax,0,1001,0.0001568383991718292,131072,0.00025274371665866084,9.77638559888007e-05,7.369234327540932e-05,8.128751739445086e-05,256,8131706880,960
Attention Output,0,1001,0.000978271996974945,8053063680,0.00035715254469316157,0.00013745094329399994,0.0001044495007292873,0.00011525210066987441,256,8131706880,960
Final Projection,1,1001,0.002975167942047119,30198988800,0.0004605988750999229,0.00017684503036480143,0.00013489140329581462,0.00014886244143930694,256,8131706880,960
QKV Projections,2,1053,0.009455692672729492,103079215104,4.2959650106081496e-05,1.6981291362800493e-05,1.2351493567352036e-05,1.3626865175928973e-05,256,8673820672,1024
Attention Scores,0,1053,0.0012268288135528563,8589934592,0.00014819729972187116,5.73183791879997e-05,4.31935142090289e-05,4.76854063248426e-05,256,8673820672,1024
attention_softmax,0,1053,0.00013387519717216492,131072,0.00025306701148536544,9.773135596280042e-05,7.382484174055814e-05,8.151081378200689e-05,256,8673820672,1024
Attention Output,0,1053,0.001012230396270752,8589934592,0.0003574888482202782,0.00013749333221680025,0.00010455795470846712,0.0001154375612950108,256,8673820672,1024
Final Projection,0,1053,0.0032135039806365966,34359738368,0.0004626756391323011,0.00017767830880919823,0.0001354597772158362,0.0001495375531072667,256,8673820672,1024
QKV Projections,2,1105,0.011269830322265627,116366770176,4.4631546922588e-05,1.753451402760134e-05,1.2882846065555341e-05,1.4214186829431322e-05,256,9215934464,1088
Attention Scores,0,1105,0.0020492544412612913,9126805504,0.00015175722372542908,5.9104991728400196e-05,4.403933493610971e-05,4.861289706091919e-05,256,9215934464,1088
