operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
Attention Scores,0,641,0.0006156287968158722,1610612736,6.556030832090745e-05,3.1591303049793853e-05,2.644666754620614e-05,7.522337724907449e-06,256,1626341376,192
attention_softmax,0,641,0.00019578880071640016,131072,0.0001117729311387441,5.34858761213286e-05,4.528279567065202e-05,1.3004259346763462e-05,256,1626341376,192
Attention Output,0,641,0.00040079359412193295,1610612736,0.0001572225854506125,7.484139320581562e-05,6.394448893332801e-05,1.8436703311468845e-05,256,1626341376,192
Final Projection,0,641,0.0003342335999011993,1207959552,0.00020290174611728432,9.671796626307128e-05,8.252103240566203e-05,2.366274744855102e-05,256,1626341376,192
QKV Projections,0,661,0.0006295551896095276,6442450944,2.1875510662131528e-05,1.029556379350538e-05,9.003857258635177e-06,2.5760896099909744e-06,256,2168455168,256
Attention Scores,0,661,0.00044769279360771174,2147483648,6.769563174370078e-05,3.2587470512623896e-05,2.725562636003865e-05,7.85253487103824e-06,256,2168455168,256
attention_softmax,0,661,0.00019476479887962342,131072,0.00010806083963988131,5.088048514920729e-05,4.4379158558853496e-05,1.2801195931820529e-05,256,2168455168,256
Attention Output,0,661,0.00039895039200782775,2147483648,0.00015287521678333454,7.34037809451138e-05,6.166727216711131e-05,1.780416367110946e-05,256,2168455168,256
Final Projection,0,661,0.0003280895948410034,2147483648,0.00020551182805941527,9.772468929085676e-05,8.356482440736116e-05,2.4222314361197354e-05,256,2168455168,256
QKV Projections,0,695,0.0008105983734130859,10066329600,2.5562067496107502e-05,1.1612509290159778e-05,1.0800154417894793e-05,3.149403788052928e-06,256,2710568960,320
Attention Scores,0,695,0.0004722687959671021,2684354560,7.131528141843285e-05,3.293374856596643e-05,2.9793346612436545e-05,8.58818624002988e-06,256,2710568960,320
attention_softmax,0,695,0.00021606400310993193,131072,0.0001241968122367041,5.860904688361757e-05,5.08398316718331e-05,1.4747933681253443e-05,256,2710568960,320
Attention Output,0,695,0.0004235264003276825,2684354560,0.00017930601516649055,8.501673467620208e-05,7.305713939010908e-05,2.1232141100179358e-05,256,2710568960,320
Final Projection,0,695,0.00033771520256996155,3355443200,0.00023521084661138483,0.00011284775694093696,9.47908952215447e-05,2.7572194448903156e-05,256,2710568960,320
QKV Projections,0,765,0.0006776831924915313,14495514624,2.5920127051266368e-05,1.178284275837882e-05,1.0935817248647166e-05,3.2014670442403804e-06,256,3252682752,384
Attention Scores,0,765,0.0004304895997047424,3221225472,8.308596896113874e-05,3.891447557364813e-05,3.411384145771794e-05,1.0057651929772677e-05,256,3252682752,384
attention_softmax,0,765,0.00019353600144386292,131072,0.00013251071420130564,6.329810619263299e-05,5.3547948782768985e-05,1.5664659225903688e-05,256,3252682752,384
Attention Output,0,765,0.00045854720473289493,3221225472,0.00017214941339150806,8.134923174338838e-05,7.028776223016531e-05,2.051241941795439e-05,256,3252682752,384
Final Projection,0,765,0.0003461120009422302,4831838208,0.00021246052838169984,0.00010070552500565099,8.647008117600962e-05,2.5284922200039234e-05,256,3252682752,384
QKV Projections,0,819,0.0007317504167556763,19730006016,2.3611862133647782e-05,1.168406490421603e-05,9.423999316971778e-06,2.503797912459976e-06,256,3794796544,448
