,source,batch_size,input_size,hidden_size,component,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,flops_per_second,HEF
8515,NVIDIA GeForce RTX 2080 Ti,2560,192,2560,Activations,0,3372,0.0006553599834442,26214400,0.0001863542004477,7.339922538740495e-05,5.383174329084189e-05,5.912323176947209e-05,4,11340000000000.0,40000001010.48586,0.352734
8516,NVIDIA GeForce RTX 2080 Ti,2560,192,2560,Cell Update,0,3372,0.0007300800085067,13107200,0.0001973602770844,7.766533991038216e-05,5.703978057742158e-05,6.26551565966795e-05,4,11340000000000.0,17953100820.839302,0.158317
8517,NVIDIA GeForce RTX 2080 Ti,2560,192,2560,Hidden Update,0,3372,0.0004413439929485,13107200,0.0002083650234521,8.192423220698686e-05,6.02496688229116e-05,6.619112242226436e-05,4,11340000000000.0,29698376344.57045,0.26189
8518,NVIDIA GeForce RTX 2080 Ti,2560,192,2560,compute_gates,0,3372,0.002248703956604,10066329600,0.0001754805869484,6.917227756098043e-05,5.066886747291493e-05,5.5639441914562886e-05,4,11340000000000.0,4476502818629.005,39.475333
8519,NVIDIA GeForce RTX 2080 Ti,2560,192,2560,hidden_gates,10,3372,0.0163256320953369,134217728000,0.0001641819890411,6.451144049712809e-05,4.751022379197012e-05,5.2160324752046335e-05,4,11340000000000.0,8221288291700.306,72.498133
8520,NVIDIA GeForce RTX 2080 Ti,2560,192,3200,Activations,0,3372,0.0008089600205421,32768000,0.0001897227875518,7.556117155971265e-05,5.440200144318321e-05,5.975961454892167e-05,4,11340000000000.0,40506328085.33791,0.357199
8521,NVIDIA GeForce RTX 2080 Ti,2560,192,3200,Cell Update,0,3372,0.0008908799886703,16384000,0.0002007359559327,7.983478609041583e-05,5.762301268195088e-05,6.327815716041912e-05,4,11340000000000.0,18390804831.58484,0.162176
8522,NVIDIA GeForce RTX 2080 Ti,2560,192,3200,Hidden Update,0,3372,0.0005263360142707,16384000,0.0002117063834361,8.407951170852357e-05,6.082378792295156e-05,6.680308380470294e-05,4,11340000000000.0,31128403825.267292,0.274501
8523,NVIDIA GeForce RTX 2080 Ti,2560,192,3200,compute_gates,0,3372,0.0027719678878784,12582912000,0.0001788059842807,7.131922372316524e-05,5.1225646216900925e-05,5.626111434068594e-05,4,11340000000000.0,4539342629120.668,40.029476
8524,NVIDIA GeForce RTX 2080 Ti,2560,192,3200,hidden_gates,16,3372,0.0273210887908935,209715200000,0.000166936493025,6.619088628667669e-05,4.799321475745981e-05,5.275239198088226e-05,4,11340000000000.0,7675945918740.288,67.689117
8525,NVIDIA GeForce RTX 2080 Ti,2560,192,3840,Activations,1,3372,0.0009584320187568,39321600,0.0001932372938015,7.796339570376176e-05,5.491159156687597e-05,6.036230653089385e-05,4,11340000000000.0,41027009981.37018,0.36179
8526,NVIDIA GeForce RTX 2080 Ti,2560,192,3840,Cell Update,1,3372,0.0010803200006484,19660800,0.0002042027522856,8.221201021463287e-05,5.81078058142642e-05,6.388293625675722e-05,4,11340000000000.0,18199052121.77849,0.160485
8527,NVIDIA GeForce RTX 2080 Ti,2560,192,3840,Hidden Update,0,3372,0.0006151360273361,19660800,0.0002151414105841,8.644090248566272e-05,6.13005315085401e-05,6.739997658999204e-05,4,11340000000000.0,31961711111.512688,0.281849
